Time, Probe0_Pressure, Probe1_Pressure, Probe2_Pressure
2.080224e+00, 1.615361e-01, 1.268225e-01, 8.733712e-02
2.090041e+00, 1.601992e-01, 1.272059e-01, 8.667685e-02
2.100210e+00, 1.590710e-01, 1.270315e-01, 8.577503e-02
2.110060e+00, 1.582601e-01, 1.267390e-01, 8.471720e-02
2.120155e+00, 1.572006e-01, 1.266900e-01, 8.347796e-02
2.130087e+00, 1.560033e-01, 1.267558e-01, 8.220797e-02
2.140281e+00, 1.547291e-01, 1.267224e-01, 8.098511e-02
2.150127e+00, 1.534005e-01, 1.266302e-01, 7.996360e-02
2.160291e+00, 1.518862e-01, 1.265410e-01, 7.908577e-02
2.170134e+00, 1.503509e-01, 1.264457e-01, 7.837102e-02
2.180304e+00, 1.486145e-01, 1.264370e-01, 7.772272e-02
2.190135e+00, 1.468540e-01, 1.266431e-01, 7.714153e-02
2.200306e+00, 1.449285e-01, 1.269795e-01, 7.654911e-02
2.210186e+00, 1.430452e-01, 1.273335e-01, 7.595517e-02
2.220078e+00, 1.416085e-01, 1.279679e-01, 7.534095e-02
2.230227e+00, 1.408087e-01, 1.291709e-01, 7.471501e-02
2.240003e+00, 1.404712e-01, 1.305648e-01, 7.413496e-02
2.250053e+00, 1.403205e-01, 1.317064e-01, 7.356068e-02
2.260098e+00, 1.403982e-01, 1.325058e-01, 7.300242e-02
2.270171e+00, 1.398890e-01, 1.332581e-01, 7.246192e-02
2.280289e+00, 1.393400e-01, 1.339356e-01, 7.195385e-02
2.290142e+00, 1.393389e-01, 1.342089e-01, 7.153152e-02
2.300040e+00, 1.400783e-01, 1.339799e-01, 7.125123e-02
2.310291e+00, 1.440901e-01, 1.332862e-01, 7.117678e-02
2.320253e+00, 1.489122e-01, 1.321420e-01, 7.127828e-02
2.330256e+00, 1.506614e-01, 1.304742e-01, 7.140358e-02
2.340282e+00, 1.509896e-01, 1.284591e-01, 7.137907e-02
2.350299e+00, 1.519696e-01, 1.264404e-01, 7.108175e-02
2.360317e+00, 1.526643e-01, 1.246179e-01, 7.051689e-02
2.370008e+00, 1.527326e-01, 1.230337e-01, 6.982146e-02
2.380040e+00, 1.524179e-01, 1.215712e-01, 6.905880e-02
2.390076e+00, 1.518589e-01, 1.204431e-01, 6.837014e-02
2.400099e+00, 1.513277e-01, 1.198227e-01, 6.797073e-02
2.410121e+00, 1.504784e-01, 1.196630e-01, 6.795127e-02
2.420168e+00, 1.497509e-01, 1.196856e-01, 6.807960e-02
2.430229e+00, 1.498439e-01, 1.195753e-01, 6.820704e-02
2.440295e+00, 1.516010e-01, 1.191413e-01, 6.828321e-02
2.450041e+00, 1.535579e-01, 1.183857e-01, 6.805058e-02
2.460139e+00, 1.541230e-01, 1.173123e-01, 6.794108e-02
2.470248e+00, 1.538744e-01, 1.161745e-01, 6.892125e-02
2.480028e+00, 1.534393e-01, 1.154762e-01, 7.031699e-02
2.490154e+00, 1.527656e-01, 1.153610e-01, 7.191439e-02
2.500000e+00, 1.520426e-01, 1.153697e-01, 7.562228e-02
2.510147e+00, 1.515148e-01, 1.152904e-01, 8.161504e-02
2.520308e+00, 1.511251e-01, 1.155644e-01, 8.610093e-02
2.530139e+00, 1.506377e-01, 1.156731e-01, 8.769993e-02
2.540319e+00, 1.500096e-01, 1.146309e-01, 8.893095e-02
2.550169e+00, 1.495334e-01, 1.137840e-01, 9.078670e-02
2.560019e+00, 1.492929e-01, 1.147674e-01, 9.227287e-02
2.570209e+00, 1.494586e-01, 1.157565e-01, 9.436116e-02
2.580067e+00, 1.498342e-01, 1.149638e-01, 9.948736e-02
2.590276e+00, 1.499682e-01, 1.163167e-01, 1.069410e-01
2.600137e+00, 1.496615e-01, 1.238800e-01, 1.119827e-01
2.610001e+00, 1.489253e-01, 1.347888e-01, 1.132916e-01
2.620223e+00, 1.479076e-01, 1.425717e-01, 1.124638e-01
2.630116e+00, 1.469394e-01, 1.439212e-01, 1.112759e-01
2.640021e+00, 1.461713e-01, 1.441479e-01, 1.104950e-01
2.650258e+00, 1.455633e-01, 1.506310e-01, 1.099278e-01
2.660128e+00, 1.449272e-01, 1.600746e-01, 1.088853e-01
2.670318e+00, 1.439795e-01, 1.645441e-01, 1.074059e-01
2.680142e+00, 1.428711e-01, 1.625802e-01, 1.066640e-01
2.690263e+00, 1.417245e-01, 1.576003e-01, 1.069009e-01
2.700017e+00, 1.407047e-01, 1.524572e-01, 1.065585e-01
2.710085e+00, 1.397539e-01, 1.478671e-01, 1.054798e-01
2.720137e+00, 1.388181e-01, 1.443794e-01, 1.072365e-01
2.730186e+00, 1.378030e-01, 1.418481e-01, 1.146163e-01
2.740247e+00, 1.367157e-01, 1.397457e-01, 1.251928e-01
2.750336e+00, 1.356099e-01, 1.380361e-01, 1.341268e-01
2.760110e+00, 1.345632e-01, 1.373479e-01, 1.396146e-01
2.770213e+00, 1.335780e-01, 1.377746e-01, 1.435331e-01
2.780318e+00, 1.327190e-01, 1.384248e-01, 1.470327e-01
2.790080e+00, 1.319402e-01, 1.383749e-01, 1.502023e-01
2.800140e+00, 1.311186e-01, 1.377856e-01, 1.523313e-01
2.810164e+00, 1.303323e-01, 1.375757e-01, 1.536233e-01
2.820119e+00, 1.297109e-01, 1.383928e-01, 1.547051e-01
2.830062e+00, 1.293105e-01, 1.400306e-01, 1.555352e-01
2.840041e+00, 1.289163e-01, 1.417483e-01, 1.556191e-01
2.850006e+00, 1.283245e-01, 1.428854e-01, 1.551516e-01
2.860288e+00, 1.275521e-01, 1.431679e-01, 1.549684e-01
2.870241e+00, 1.268926e-01, 1.425701e-01, 1.554657e-01
2.880218e+00, 1.264451e-01, 1.412405e-01, 1.562517e-01
2.890218e+00, 1.260122e-01, 1.394064e-01, 1.568053e-01
2.900191e+00, 1.253924e-01, 1.373164e-01, 1.570537e-01
2.910009e+00, 1.245801e-01, 1.351502e-01, 1.572745e-01
2.920063e+00, 1.238819e-01, 1.329128e-01, 1.575735e-01
2.930114e+00, 1.236636e-01, 1.308160e-01, 1.574913e-01
2.940077e+00, 1.244020e-01, 1.291404e-01, 1.568064e-01
2.950271e+00, 1.258783e-01, 1.281389e-01, 1.566691e-01
2.960165e+00, 1.271236e-01, 1.280361e-01, 1.571614e-01
2.970185e+00, 1.277522e-01, 1.287520e-01, 1.568805e-01
2.980166e+00, 1.277749e-01, 1.299273e-01, 1.587175e-01
2.990261e+00, 1.272277e-01, 1.310023e-01, 1.648871e-01
3.000000e+00, 1.261379e-01, 1.314479e-01, 1.693286e-01
3.010308e+00, 1.247268e-01, 1.311175e-01, 1.685629e-01
3.020311e+00, 1.233929e-01, 1.302004e-01, 1.650801e-01
3.030311e+00, 1.220339e-01, 1.290218e-01, 1.615668e-01
3.040090e+00, 1.206292e-01, 1.278532e-01, 1.585460e-01
3.050125e+00, 1.189677e-01, 1.267320e-01, 1.556601e-01
3.060079e+00, 1.175425e-01, 1.256699e-01, 1.530425e-01
3.070296e+00, 1.163437e-01, 1.245548e-01, 1.507968e-01
3.080136e+00, 1.153623e-01, 1.234502e-01, 1.492139e-01
3.090280e+00, 1.145101e-01, 1.224169e-01, 1.482671e-01
3.100090e+00, 1.138688e-01, 1.217251e-01, 1.479449e-01
3.110214e+00, 1.133584e-01, 1.214505e-01, 1.480083e-01
3.120031e+00, 1.130026e-01, 1.215373e-01, 1.482737e-01
3.130239e+00, 1.127642e-01, 1.217916e-01, 1.485623e-01
3.140162e+00, 1.125911e-01, 1.220311e-01, 1.485508e-01
3.150133e+00, 1.123505e-01, 1.221641e-01, 1.481445e-01
3.160145e+00, 1.119419e-01, 1.220917e-01, 1.475872e-01
3.170202e+00, 1.113730e-01, 1.217578e-01, 1.472853e-01
3.180273e+00, 1.107184e-01, 1.212790e-01, 1.475022e-01
3.190142e+00, 1.101148e-01, 1.208910e-01, 1.477367e-01
3.200098e+00, 1.098507e-01, 1.206713e-01, 1.475660e-01
3.210142e+00, 1.102684e-01, 1.204782e-01, 1.457862e-01
3.220298e+00, 1.112713e-01, 1.200890e-01, 1.444311e-01
3.230294e+00, 1.120498e-01, 1.194274e-01, 1.442643e-01
3.240171e+00, 1.121351e-01, 1.185638e-01, 1.432309e-01
3.250261e+00, 1.116654e-01, 1.175896e-01, 1.478899e-01
3.260012e+00, 1.110149e-01, 1.166640e-01, 1.513616e-01
3.270044e+00, 1.103430e-01, 1.157926e-01, 1.673959e-01
3.280049e+00, 1.097333e-01, 1.150234e-01, 1.999251e-01
3.290060e+00, 1.091716e-01, 1.143279e-01, 2.049007e-01
3.300144e+00, 1.086150e-01, 1.136476e-01, 1.989955e-01
3.310070e+00, 1.081278e-01, 1.129741e-01, 2.011390e-01
3.320194e+00, 1.077140e-01, 1.123630e-01, 2.014369e-01
3.330227e+00, 1.073917e-01, 1.119888e-01, 1.971867e-01
3.340111e+00, 1.071273e-01, 1.119158e-01, 1.941051e-01
3.350119e+00, 1.069150e-01, 1.119988e-01, 1.930097e-01
3.360219e+00, 1.067446e-01, 1.119549e-01, 1.919971e-01
3.370139e+00, 1.065675e-01, 1.115932e-01, 1.912780e-01
3.380130e+00, 1.063858e-01, 1.109598e-01, 1.910977e-01
3.390178e+00, 1.061967e-01, 1.102952e-01, 1.899759e-01
3.400065e+00, 1.060146e-01, 1.098546e-01, 1.877656e-01
3.410196e+00, 1.059459e-01, 1.097051e-01, 1.848162e-01
3.420038e+00, 1.060127e-01, 1.097495e-01, 1.817942e-01
3.430079e+00, 1.061197e-01, 1.097974e-01, 1.795133e-01
3.440174e+00, 1.061094e-01, 1.097117e-01, 1.785043e-01
3.450027e+00, 1.059566e-01, 1.094819e-01, 1.783760e-01
3.460176e+00, 1.056535e-01, 1.091225e-01, 1.782451e-01
3.470112e+00, 1.052265e-01, 1.086361e-01, 1.774678e-01
3.480109e+00, 1.050663e-01, 1.080314e-01, 1.761840e-01
3.490092e+00, 1.054025e-01, 1.075452e-01, 1.750754e-01
3.500000e+00, 1.069761e-01, 1.075926e-01, 1.743344e-01
3.510083e+00, 1.100572e-01, 1.084811e-01, 1.734926e-01
3.520133e+00, 1.091731e-01, 1.102008e-01, 1.718856e-01
3.530146e+00, 1.054790e-01, 1.123966e-01, 1.694259e-01
3.540096e+00, 1.034858e-01, 1.145552e-01, 1.666571e-01
3.550136e+00, 1.008133e-01, 1.161988e-01, 1.642161e-01
3.560154e+00, 9.884567e-02, 1.169545e-01, 1.624587e-01
3.570117e+00, 9.933667e-02, 1.170915e-01, 1.611373e-01
3.580049e+00, 1.012719e-01, 1.166957e-01, 1.598456e-01
3.590073e+00, 1.042754e-01, 1.163192e-01, 1.585308e-01
